turno_ordinal,turn_id,classe_turno,modulo,elegibilidade,consulta_esperada,consulta_observada,efeito_esperado,efeito_observado,estado_ativacao,chamadas_detectadas,confianca_observacao,input_tokens_expostos_nao_aditivos,tokens_totais_expostos_nao_aditivos,tokens_totais_atribuidos_fracionados,tokens_uncached_atribuidos_fracionados_aprox,latencia_exposta_segundos_nao_aditiva,latencia_atribuida_fracionada_ms,par_preparar_concluir_exato
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,emergent_sidequest_opportunity,indeterminada,,sim,,,observada,1,media,157760,161453,80727,8800,86.112,43056,sim
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,emergent_sidequest_authoring,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,active_sidequest_reassessment,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,transactional_sidequest_progress,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,sidequest_progression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,quest_rewards,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,sidequest_success_reactions,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,canon_bridge,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,canonical_secret_quests,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,seven_names_migration_regression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,npc_social_initiative,indeterminada,,sim,,,observada,2,media,157760,161453,80726,8800,86.112,43056,sim
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,world_local_incidents,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,persistent_world_conditions,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,liveness_boundary,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,reactive_pressure_routing,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,batch_world_boundary,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,secret_canon,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,adversarial_integrity,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,concurrent_adversarial_operations,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
