ordinal,turn_id,classe_turno,inicio,fim,latencia_segundos,trecho_usuario,nivel_acesso,input_tokens,cached_input_tokens,uncached_input_tokens_aprox,output_tokens,reasoning_output_tokens,tokens_totais,inference_events,tool_calls,tool_output_bytes,read_search_calls,write_calls,dice_calls,other_calls,routed_context_calls,raw_read_calls,schema_discovery_calls,orchestration_calls,prepare_calls,conclude_calls,par_preparar_concluir_exato,decisao_oportunidade,decisao_sem_oportunidade,decisao_ausente,modulos_observados,quantidade_modulos_observados,interaction_id,interaction_ref,referencia_visivel_exatamente_uma_vez
1,01a0a565-c402-7733-982a-16535e5de30b,mecanica,2026-09-15T14:08:25.696000+00:00,2026-09-15T14:19:46.922000+00:00,681.226,"Ren agradece Tomas por tudo. Pede desculpas pela forma que entrou e também por ter raptado Darran, que aquilo fora um improviso, na verdade.

""De toda forma, não teremos papéis saindo daqui. Eu ainda vou vigiar os arredores por um tempo, ve",L2+RAW,4295319,4174592,120727,30027,18050,4325346,53,52,232201,20,10,1,21,5,15,10,19,14,5,nao,0,14,0,"[""emergent_sidequest_opportunity"", ""npc_social_initiative""]",2,interaction-ad8fcc4e0a01bf29caba,S023-I0005,sim
2,01a0a574-8aae-70c0-8507-21a25087d411,avanco_comum,2026-09-15T14:24:33.499000+00:00,2026-09-15T14:27:04.728000+00:00,151.229,"Ren procura o banho. Toma seu banho tranquilo, pensativo. Depois vai pro seu quarto-depósito e dorme.",L2,932421,912512,19909,6681,4737,939102,7,6,37527,1,3,0,2,1,0,0,4,2,2,nao,0,2,0,"[""persistent_world_conditions"", ""world_local_incidents""]",2,interaction-6770e37989859a4c3aa8,S023-I0007,sim
3,01a0a579-aa29-7a81-8d28-088a7e7e597b,mecanica,2026-09-15T14:30:09.243000+00:00,2026-09-15T14:34:20.255000+00:00,251.012,"Ren corre atrás do suposto ladrão de bolsas e tenta dar-lhe uma rasteira para que caia e, depois segurá-lo.",L2+RAW,1849082,1800704,48378,11334,8085,1860416,11,10,127782,4,2,1,3,3,1,3,5,3,2,nao,0,3,0,"[""emergent_sidequest_opportunity"", ""persistent_world_conditions"", ""world_local_incidents""]",3,interaction-c33b309cf232cecf344a,S023-I0009,sim
4,01a0a57f-784c-7752-b129-7d0540c58782,avanco_comum,2026-09-15T14:36:29.691000+00:00,2026-09-15T14:38:45.768000+00:00,136.077,"""Calma, muita calma... vamo entender isso daqui. Essa bolsa é sua mesma, madame?"", Ren pergunta, calmo, de olho no suposto ladrão para que ele não corra, mas sem deixar a mulher pegar a bolsa imediatamente.",L0,578777,568704,10073,6059,4876,584836,3,2,10038,0,1,0,1,0,0,0,2,1,1,sim,0,1,0,"[""emergent_sidequest_opportunity""]",1,interaction-cef2a0b96b7414ec9a9f,S023-I0010,sim
5,01a0a583-6a7b-7b62-894b-6330fb3045de,mecanica,2026-09-15T14:40:48.305000+00:00,2026-09-15T14:43:31.954000+00:00,163.649,"Ren agarra a bolsa rapidamente, com a velocidade de um soco de uma polegada.

""Algo a dizer, camarada?"", Ren pergunta ao suposto ladrão, dando-lhe chance de se defender.

Se ele não disser nada ou admitir que roubou, Ren tomará a bolsa dele",L0,373448,349184,24264,3492,1735,376940,8,6,27378,0,1,1,4,0,0,0,2,1,1,sim,0,1,0,"[""emergent_sidequest_opportunity""]",1,interaction-19554dc0449e8b3258cf,S023-I0011,sim
6,01a0a58b-1016-7990-b278-86b91df111fb,mecanica,2026-09-15T14:49:09.452000+00:00,2026-09-15T14:52:06.810000+00:00,177.358,"""Existe algo pior que o guarda, sabia?"", Ren fala. Faz um sinal pedindo pra mulher e seu amigo irem embora.

Ren acompanha com os olhos o afastamento da mulher e do trabalhador, sem deixar o rapaz fugir. Depois que eles estão suficientement",L0,454944,428544,26400,8353,4533,463297,9,8,60674,0,1,3,4,0,0,0,2,1,1,sim,0,1,0,"[""emergent_sidequest_opportunity""]",1,interaction-3f0f60dbb012cb137249,S023-I0012,sim
7,01a0a58f-7c36-7881-9881-7bdcacbf8308,fronteira_temporal,2026-09-15T14:53:59.279000+00:00,2026-09-15T15:03:14.700000+00:00,555.421,"[AVALIAÇÃO S023-I0012 — a coisa toda com o ladrão é apenas uma forma de Ren mostrar no que ele acredita: ele não acha que deveria chamar as autoridades, nem bater num homem desses. Mas pra não deixa-lo impune, Ren o assusta um pouco. Na cab",RAW,6015564,5902336,113228,22595,14979,6038159,48,47,299021,23,11,0,13,0,23,15,6,3,3,nao,0,3,0,"[""batch_world_boundary"", ""liveness_boundary"", ""persistent_world_conditions"", ""secret_canon"", ""world_local_incidents""]",5,interaction-0883cb61e676f1a21ad7,S023-I0014,sim
8,01a0a59c-3eca-7023-b4c1-6f0469bc1366,avanco_comum,2026-09-15T15:07:55.516000+00:00,2026-09-15T15:11:12.982000+00:00,197.466,"[AVALIAÇÃO S023-I0014 — Não é tanto uma avaliação, mas algo a ser considerado sim. Imagine um mini-arco que começa com Ren entrando no seu quarto-depósito e, depois de alguns segundos, percebe alguém nas sombras. É outro shinobi. Começa uma",RAW,1620744,1466240,154504,8968,6929,1629712,9,8,63433,1,1,0,6,0,1,0,3,2,1,nao,0,2,0,"[""emergent_sidequest_opportunity"", ""npc_social_initiative""]",2,interaction-02ab740be1f5f13971be,S023-I0016,sim
9,01a0a5a0-5603-7913-b21b-7f1d4aca6b10,avanco_comum,2026-09-15T15:12:23.612000+00:00,2026-09-15T15:21:07.708000+00:00,524.096,"""Bem, mais ou menos bem"", Ren fala. E começa a contar a animada noite com Darran e o desfecho com Tomas.

""Parece que gente com sobrenome Vell sempre precisa de resgate, não é?"", ele fala, rindo.",RAW,2068504,2014720,53784,17661,12806,2086165,18,16,82097,6,4,0,6,0,6,4,6,4,2,nao,0,4,0,[],0,interaction-240c6829419132a49f52,S023-I0017,sim
10,01a0a5ad-e71d-7820-9a62-b958dd4e8176,fronteira_temporal,2026-09-15T15:27:12.720000+00:00,2026-09-15T15:30:10.192000+00:00,177.472,"[AVALIAÇÃO S023-I0017 — se Ren e Silva estão conversando em uma área comum do circo, não seria impossível um NPC que é do circo vê-lo e falar alguma coisa. Temos vários: Sorn, Lysa, Merrit, entre outros tantos já. Eles podem passar por Ren,",RAW,1002114,966144,35970,7412,3995,1009526,16,15,93718,4,1,0,10,0,4,0,5,4,1,nao,0,4,0,"[""batch_world_boundary"", ""emergent_sidequest_opportunity"", ""npc_social_initiative""]",3,interaction-d8277465de8ea4a8abe8,S023-I0019,sim
